	nb_genes mean	nb_genes med	nb_genes sd	nb_genes min	nb_genes max	nb_rnx mean	nb_rnx med	nb_rnx sd	nb_rnx min	nb_rnx max	nb_pw > 80% mean	nb_pw > 80% med	nb_pw > 80% sd	nb_pw > 80% min	nb_pw > 80% max	nb_pw 100% mean	nb_pw 100% med	nb_pw 100% sd	nb_pw 100% min	nb_pw 100% max
SR	9245.7	8515.5	1901.5	7244	13875	3340.2	3258.5	265.0	3017	3958	514.7	499.5	47.6	457	614	437.5	421.5	48.0	384	535
LR	8032.3	7964.5	490.3	7321	9373	3272.4	3282.0	42.2	3201	3345	515.7	516.5	8.4	500	528	438.4	440.0	7.6	424	450
