original_gene_id	renamed_gene_id
mRNA_L-elsbetiae_contig7.15786.1	c_organisms_00103
prot_L-elsbetiae_contig7.15786.1	c_organisms_00104
mRNA_L-elsbetiae_contig7.15787.1	c_organisms_00105
prot_L-elsbetiae_contig7.15787.1	c_organisms_00106
mRNA_L-elsbetiae_contig7.15788.1	c_organisms_00107
prot_L-elsbetiae_contig7.15788.1	c_organisms_00108
mRNA_L-elsbetiae_contig7.15789.1	c_organisms_00109
prot_L-elsbetiae_contig7.15789.1	c_organisms_00110
mRNA_L-elsbetiae_contig7.15790.1	c_organisms_00111
prot_L-elsbetiae_contig7.15790.1	c_organisms_00112
mRNA_L-elsbetiae_contig7.15791.1	c_organisms_00113
prot_L-elsbetiae_contig7.15791.1	c_organisms_00114
mRNA_L-elsbetiae_contig7.15792.1	c_organisms_00115
prot_L-elsbetiae_contig7.15792.1	c_organisms_00116
mRNA_L-elsbetiae_contig7.15793.1	c_organisms_00117
prot_L-elsbetiae_contig7.15793.1	c_organisms_00118
mRNA_L-elsbetiae_contig8.16972.1	c_organisms_00119
prot_L-elsbetiae_contig8.16972.1	c_organisms_00120
mRNA_L-elsbetiae_contig8.16973.1	c_organisms_00121
prot_L-elsbetiae_contig8.16973.1	c_organisms_00122
mRNA_L-elsbetiae_contig8.16974.1	c_organisms_00123
prot_L-elsbetiae_contig8.16974.1	c_organisms_00124
mRNA_L-elsbetiae_contig8.16975.1	c_organisms_00125
prot_L-elsbetiae_contig8.16975.1	c_organisms_00126
mRNA_L-elsbetiae_contig8.16976.1	c_organisms_00127
prot_L-elsbetiae_contig8.16976.1	c_organisms_00128
mRNA_L-elsbetiae_contig8.16977.1	c_organisms_00129
prot_L-elsbetiae_contig8.16977.1	c_organisms_00130
mRNA_L-elsbetiae_contig8.16978.1	c_organisms_00131
prot_L-elsbetiae_contig8.16978.1	c_organisms_00132
mRNA_L-elsbetiae_contig8.16979.1	c_organisms_00133
prot_L-elsbetiae_contig8.16979.1	c_organisms_00134
mRNA_L-elsbetiae_contig8.16980.1	c_organisms_00135
prot_L-elsbetiae_contig8.16980.1	c_organisms_00136
mRNA_L-elsbetiae_contig8.16981.1	c_organisms_00137
