	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Nemacystus_decipiens	5363	3238	526	453
Thalassiosira_pseudonana	3142	2793	456	382
Fragilariopsis_cylindrus	3423	2908	460	392
Nannochloropsis_gaditana	3283	2957	476	410
Fistulifera_solaris	5475	2844	455	382
Phaeodactylum_tricornutum	2959	2848	451	388
Saccharina_japonica	6187	3197	501	421
Cladosiphon_okamuranus	5456	3155	497	418
Undaria_pinnatifida_Kr2015	6092	3150	492	419
Ectocarpus_subulatus	6961	3122	498	414
Ectocarpus_species7	5311	3144	497	420
