pathway	Heribaudiella-fluviatilis_completion_rate	Laminarionema-elsbetiae_completion_rate	Ectocarpus-sp7_completion_rate	Saccorhiza-dermatodea_completion_rate	Pleurocladia-lacustris_completion_rate	Nannochloropsis-oceanica_completion_rate	Desmarestia-dudresnayi_completion_rate	Sphacelaria-rigidula_FEMALE_completion_rate	Ectocarpus-sp3_FEMALE_completion_rate	Choristocarpus-tenellus_completion_rate	Discosporangium-mesarthrocarpum_completion_rate	Fragilariopsis-cylindrus_completion_rate	Fistulifera-solaris_completion_rate	Pelvetia-canaliculata_completion_rate	Ascophyllum-nodosum_MALE_completion_rate	Chordaria-linearis_completion_rate	Nannochloropsis-gaditana_completion_rate	Fucus-distichus_completion_rate	Hapterophycus-canaliculatus_MALE_completion_rate	Heterosigma-akashiwo_completion_rate	Ectocarpus-sp9_FEMALE_completion_rate	Himanthalia-elongata_completion_rate	Sphaerotrichia-firma_MALE_completion_rate	Porterinema-fluviatile_completion_rate	Tribonema-minus_completion_rate	Aphanomyces-euteiches_completion_rate	Ectocarpus-sp2_MALE_completion_rate	Saccharina-japonica_completion_rate	Ectocarpus-subulatus_completion_rate	Thalassiosira-pseudonana_completion_rate	Desmarestia-herbacea_MALE_completion_rate	Sargassum-fusiforme_completion_rate	Phaeothamnion-wetherbeei_completion_rate	Laminaria-digitata_MALE_completion_rate	Fucus-serratus_MALE_completion_rate	Ectocarpus-crouaniorum-2c_MALE_completion_rate	Feldmannia-mitchelliae_completion_rate	Ectocarpus-sp5_FEMALE_completion_rate	Undaria-pinnatifida_completion_rate	Chrysoparadoxa-australica_completion_rate	Ectocarpus-sp6_SP_completion_rate	Saccharina-latissima_FEMALE_completion_rate	Saccorhiza-polyschides_MALE_completion_rate	Ectocarpus-sp13_SP_completion_rate	Scytosiphon-promiscuus_MALE_completion_rate	Aureococcus-anophagefferens_completion_rate	Ectocarpus-fasciculatus_MALE_completion_rate	Phytophthora-infestans_completion_rate	Ectocarpus-siliculosus-1a_MALE_completion_rate	Ectocarpus-sp1_MALE_completion_rate	Halopteris-paniculata_completion_rate	Saprolegnia-parasitica_completion_rate	Ectocarpus-sp12_SP_completion_rate	Macrocystis-pyrifera_MALE_completion_rate	Ectocarpus-sp8_SP_completion_rate	Pythium-ultimum_completion_rate	Myriotrichia-clavaeformis_FEMALE_completion_rate	Cladosiphon-okamuranus_completion_rate	Pylaiella-littoralis_completion_rate	Dictyota-dichotoma_MALE_completion_rate	Schizocladia-ischiensis_completion_rate	Phaeodactylum-tricornutum_completion_rate	Heribaudiella-fluviatilis_rxn_assoc (sep=;)	Laminarionema-elsbetiae_rxn_assoc (sep=;)	Ectocarpus-sp7_rxn_assoc (sep=;)	Saccorhiza-dermatodea_rxn_assoc (sep=;)	Pleurocladia-lacustris_rxn_assoc (sep=;)	Nannochloropsis-oceanica_rxn_assoc (sep=;)	Desmarestia-dudresnayi_rxn_assoc (sep=;)	Sphacelaria-rigidula_FEMALE_rxn_assoc (sep=;)	Ectocarpus-sp3_FEMALE_rxn_assoc (sep=;)	Choristocarpus-tenellus_rxn_assoc (sep=;)	Discosporangium-mesarthrocarpum_rxn_assoc (sep=;)	Fragilariopsis-cylindrus_rxn_assoc (sep=;)	Fistulifera-solaris_rxn_assoc (sep=;)	Pelvetia-canaliculata_rxn_assoc (sep=;)	Ascophyllum-nodosum_MALE_rxn_assoc (sep=;)	Chordaria-linearis_rxn_assoc (sep=;)	Nannochloropsis-gaditana_rxn_assoc (sep=;)	Fucus-distichus_rxn_assoc (sep=;)	Hapterophycus-canaliculatus_MALE_rxn_assoc (sep=;)	Heterosigma-akashiwo_rxn_assoc (sep=;)	Ectocarpus-sp9_FEMALE_rxn_assoc (sep=;)	Himanthalia-elongata_rxn_assoc (sep=;)	Sphaerotrichia-firma_MALE_rxn_assoc (sep=;)	Porterinema-fluviatile_rxn_assoc (sep=;)	Tribonema-minus_rxn_assoc (sep=;)	Aphanomyces-euteiches_rxn_assoc (sep=;)	Ectocarpus-sp2_MALE_rxn_assoc (sep=;)	Saccharina-japonica_rxn_assoc (sep=;)	Ectocarpus-subulatus_rxn_assoc (sep=;)	Thalassiosira-pseudonana_rxn_assoc (sep=;)	Desmarestia-herbacea_MALE_rxn_assoc (sep=;)	Sargassum-fusiforme_rxn_assoc (sep=;)	Phaeothamnion-wetherbeei_rxn_assoc (sep=;)	Laminaria-digitata_MALE_rxn_assoc (sep=;)	Fucus-serratus_MALE_rxn_assoc (sep=;)	Ectocarpus-crouaniorum-2c_MALE_rxn_assoc (sep=;)	Feldmannia-mitchelliae_rxn_assoc (sep=;)	Ectocarpus-sp5_FEMALE_rxn_assoc (sep=;)	Undaria-pinnatifida_rxn_assoc (sep=;)	Chrysoparadoxa-australica_rxn_assoc (sep=;)	Ectocarpus-sp6_SP_rxn_assoc (sep=;)	Saccharina-latissima_FEMALE_rxn_assoc (sep=;)	Saccorhiza-polyschides_MALE_rxn_assoc (sep=;)	Ectocarpus-sp13_SP_rxn_assoc (sep=;)	Scytosiphon-promiscuus_MALE_rxn_assoc (sep=;)	Aureococcus-anophagefferens_rxn_assoc (sep=;)	Ectocarpus-fasciculatus_MALE_rxn_assoc (sep=;)	Phytophthora-infestans_rxn_assoc (sep=;)	Ectocarpus-siliculosus-1a_MALE_rxn_assoc (sep=;)	Ectocarpus-sp1_MALE_rxn_assoc (sep=;)	Halopteris-paniculata_rxn_assoc (sep=;)	Saprolegnia-parasitica_rxn_assoc (sep=;)	Ectocarpus-sp12_SP_rxn_assoc (sep=;)	Macrocystis-pyrifera_MALE_rxn_assoc (sep=;)	Ectocarpus-sp8_SP_rxn_assoc (sep=;)	Pythium-ultimum_rxn_assoc (sep=;)	Myriotrichia-clavaeformis_FEMALE_rxn_assoc (sep=;)	Cladosiphon-okamuranus_rxn_assoc (sep=;)	Pylaiella-littoralis_rxn_assoc (sep=;)	Dictyota-dichotoma_MALE_rxn_assoc (sep=;)	Schizocladia-ischiensis_rxn_assoc (sep=;)	Phaeodactylum-tricornutum_rxn_assoc (sep=;)
PWY-6499											1/3								1/3														1/3							1/3						1/3							3/3																				25-DIOXOVALERATE-DEHYDROGENASE-RXN								25-DIOXOVALERATE-DEHYDROGENASE-RXN														GLUCARDEHYDRA-RXN							GLUCARDEHYDRA-RXN						25-DIOXOVALERATE-DEHYDROGENASE-RXN							25-DIOXOVALERATE-DEHYDROGENASE-RXN;GLUCARDEHYDRA-RXN;4.2.1.41-RXN									
PWY-7081											1/4						1/4																1/4	1/4						2/4																																	MALEYLACETATE-REDUCTASE-RXN						MALEYLACETATE-REDUCTASE-RXN																MALEYLACETATE-REDUCTASE-RXN	RXN-10137						MALEYLACETATE-REDUCTASE-RXN;RXN-10137																						
PWY-7332											5/11			5/11																			7/11																				7/11	4/11																			PWY-7335;PWY-7331;UDPNAGSYN-PWY;RXN-9998;PWY-7330			PWY-7335;PWY-7331;UDPNAGSYN-PWY;RXN-9998;PWY-7330																			PWY-7335;PWY-7331;UDPNAGSYN-PWY;PWY-7336;RXN-9998;PWY-7330;PWY-7090																				PWY-7335;PWY-7331;UDPNAGSYN-PWY;PWY-7336;RXN-9998;PWY-7330;PWY-7090	PWY-7331;PWY-7330;UDPNAGSYN-PWY;RXN-9998								
PWY-7701											1/2				1/2					1/2					1/2			1/2					1/2	1/2						1/2													1/2					1/2	1/2														4.1.3.17-RXN				4.1.3.17-RXN					4.1.3.17-RXN					4.1.3.17-RXN			4.1.3.17-RXN					4.1.3.17-RXN	4.1.3.17-RXN						4.1.3.17-RXN													4.1.3.17-RXN					4.1.3.17-RXN	4.1.3.17-RXN			
PWY8J2-20											2/3																							2/3																																							RXN-14311;RXN-14312																							RXN-14311;RXN-14312																												
PWY-6041											2/4						1/4											1/4					2/4							2/4													1/4					1/4															MALEYLACETATE-REDUCTASE-RXN;RXN-9731						MALEYLACETATE-REDUCTASE-RXN											RXN-9733					MALEYLACETATE-REDUCTASE-RXN;RXN-9731							MALEYLACETATE-REDUCTASE-RXN;RXN-9731													RXN-9731					RXN-9733				
METHYLGALLATE-DEGRADATION-PWY											3/6			1/6	1/6					1/6					1/6			1/6	1/6				5/6	5/6						4/6													4/6	3/6				1/6	1/6														RXN-9983;RXN-2464;RXN-2463			OXALODECARB-RXN	RXN-2464					RXN-2464					RXN-2464			RXN-2464	OXALODECARB-RXN				RXN-2463;OXALODECARB-RXN;RXN-2464;RXN-2462;RXN-9983	RXN-2463;OXALODECARB-RXN;RXN-2464;RXN-2462;RXN-9983						RXN-2462;RXN-9983;OXALODECARB-RXN;RXN-2464													RXN-9983;RXN-2464;OXALODECARB-RXN;RXN-2463	RXN-9983;OXALODECARB-RXN;RXN-2463				RXN-2464	RXN-2464			
ARGDEG-IV-PWY											1/4																							1/4						1/4																		1/4															1.2.1.54-RXN																							GUANIDINOBUTYRASE-RXN						4.1.1.75-RXN																		GUANIDINOBUTYRASE-RXN				
PWY-7806											1/1						1/1											1/1					1/1	1/1						1/1													1/1	1/1				1/1			1/1												RXN-17951						RXN-17951											RXN-17951					RXN-17951	RXN-17951						RXN-17951													RXN-17951	RXN-17951				RXN-17951			RXN-17951	
PWY-7676											1/2																																										1/2																				RXN-16750																																										RXN-16750									
PWY-6478											2/4			1/4									1/4										3/4	2/4						2/4													3/4																				RXN0-4301;RXN-11365			RXN-11365									RXN-11365										RXN0-4301;RXN-11365;RXN-11363	RXN0-4301;RXN-11365						RXN0-4301;RXN-11365													RXN0-4301;RXN-11365;RXN-11364									
4-HYDROXYMANDELATE-DEGRADATION-PWY											1/6			1/6																			3/6	1/6						1/6													1/6	1/6																			HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN			HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN																			HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN;4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN;HYDROXY-MANDELATE-RACEMASE-RXN	HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN						HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN													4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN								
PHENOLDEG-PWY											1/4																						1/4	1/4																																							OHBENZCOARED-RXN																						OHBENZCOARED-RXN	OHBENZCOARED-RXN																												
PWY-5656											1/2			1/2					1/2															1/2																			1/2																				3.1.3.70-RXN			3.1.3.70-RXN					3.1.3.70-RXN															3.1.3.70-RXN																			3.1.3.70-RXN									
PWY-7934											1/8																						1/8																				2/8																				CHORPYRLY-RXN																						4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN																				4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN;CHORPYRLY-RXN									
GALLATE-DEGRADATION-II-PWY											3/4				1/4					1/4					1/4			1/4					3/4	3/4						2/4													3/4	2/4				1/4	1/4														RXN-9983;RXN-2464;RXN-2463				RXN-2464					RXN-2464					RXN-2464			RXN-2464					RXN-9983;RXN-2464;RXN-2463	RXN-9983;RXN-2464;RXN-2463						RXN-9983;RXN-2464													RXN-9983;RXN-2464;RXN-2463	RXN-9983;RXN-2463				RXN-2464	RXN-2464			
PWY-7742											1/23																																										1/23																				CHORPYRLY-RXN																																										CHORPYRLY-RXN									
PWY-7131											1/3																							3/3						2/3													2/3	1/3																			RXN-13574																							RXN-12239;RXN-13574;RXN-12238						RXN-13574;RXN-12238													RXN-12239;RXN-13574	RXN-12238								
PWY-8330											1/5																						1/5	1/5						1/5													1/5		1/5																		XYLONATE-DEHYDRATASE-RXN																						XYLONATE-DEHYDRATASE-RXN	XYLONATE-DEHYDRATASE-RXN						XYLONATE-DEHYDRATASE-RXN													XYLONATE-DEHYDRATASE-RXN		XYLONATE-DEHYDRATASE-RXN							
