pathway	Desmarestia_herbacea_m_completion_rate	Myriotrichia_clavaeformis_FEMALE_completion_rate	Undaria_pinnatifida_Kr2015_completion_rate	Ectocarpus_siliculosus_m_completion_rate	Ectocarpus_fasciculatus_m_completion_rate	Macrocystis_pyrifera_MALE_completion_rate	Cladosiphon_okamuranus_completion_rate	Dictyota_dichotoma_m_completion_rate	Ectocarpus_species7_completion_rate	Himanthalia_elongata_completion_rate	Hapterophycus_canaliculatus_FEMALE_completion_rate	Ectocarpus_crouaniorum_m_completion_rate	Heribaudiella_fluviatilis_completion_rate	Saccorhiza_polyschides_MALE_completion_rate	Feldmannia_mitchelliae_completion_rate	Saccharina_latissima_FEMALE_completion_rate	Saccharina_japonica_completion_rate	Fragilariopsis_cylindrus_completion_rate	Phaeodactylum_tricornutum_completion_rate	Nemacystus_decipiens_completion_rate	Porterinema_fluviatile_completion_rate	Ectocarpus_subulatus_completion_rate	Nannochloropsis_gaditana_completion_rate	Thalassiosira_pseudonana_completion_rate	Fucus_serratus_MALE_completion_rate	Pelvetia_canaliculata_completion_rate	Scytosiphon_promiscuus_MALE_completion_rate	Fucus_distichus_completion_rate	Schizocladia_ischiensis_completion_rate	Laminarionema_elsbetiae_completion_rate	Desmarestia_dudresnayi_completion_rate	Saccorhiza_dermatodea_completion_rate	Chordaria_linearis_completion_rate	Pleurocladia_lacustris_completion_rate	Fistulifera_solaris_completion_rate	Desmarestia_herbacea_m_rxn_assoc (sep=;)	Myriotrichia_clavaeformis_FEMALE_rxn_assoc (sep=;)	Undaria_pinnatifida_Kr2015_rxn_assoc (sep=;)	Ectocarpus_siliculosus_m_rxn_assoc (sep=;)	Ectocarpus_fasciculatus_m_rxn_assoc (sep=;)	Macrocystis_pyrifera_MALE_rxn_assoc (sep=;)	Cladosiphon_okamuranus_rxn_assoc (sep=;)	Dictyota_dichotoma_m_rxn_assoc (sep=;)	Ectocarpus_species7_rxn_assoc (sep=;)	Himanthalia_elongata_rxn_assoc (sep=;)	Hapterophycus_canaliculatus_FEMALE_rxn_assoc (sep=;)	Ectocarpus_crouaniorum_m_rxn_assoc (sep=;)	Heribaudiella_fluviatilis_rxn_assoc (sep=;)	Saccorhiza_polyschides_MALE_rxn_assoc (sep=;)	Feldmannia_mitchelliae_rxn_assoc (sep=;)	Saccharina_latissima_FEMALE_rxn_assoc (sep=;)	Saccharina_japonica_rxn_assoc (sep=;)	Fragilariopsis_cylindrus_rxn_assoc (sep=;)	Phaeodactylum_tricornutum_rxn_assoc (sep=;)	Nemacystus_decipiens_rxn_assoc (sep=;)	Porterinema_fluviatile_rxn_assoc (sep=;)	Ectocarpus_subulatus_rxn_assoc (sep=;)	Nannochloropsis_gaditana_rxn_assoc (sep=;)	Thalassiosira_pseudonana_rxn_assoc (sep=;)	Fucus_serratus_MALE_rxn_assoc (sep=;)	Pelvetia_canaliculata_rxn_assoc (sep=;)	Scytosiphon_promiscuus_MALE_rxn_assoc (sep=;)	Fucus_distichus_rxn_assoc (sep=;)	Schizocladia_ischiensis_rxn_assoc (sep=;)	Laminarionema_elsbetiae_rxn_assoc (sep=;)	Desmarestia_dudresnayi_rxn_assoc (sep=;)	Saccorhiza_dermatodea_rxn_assoc (sep=;)	Chordaria_linearis_rxn_assoc (sep=;)	Pleurocladia_lacustris_rxn_assoc (sep=;)	Fistulifera_solaris_rxn_assoc (sep=;)
PWY-6524	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4		1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4				1/4				1/4	1/4	1/4	1/4	2/4	1/4	1/4	1/4	1/4	1/4		2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN		2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN				2.4.1.82-RXN				2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.123-RXN;2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	2.4.1.82-RXN	
PWY-5083	4/6	4/6	4/6	4/6	4/6	4/6	4/6	4/6	3/6	4/6	4/6	4/6	4/6	3/6	3/6	4/6	4/6	3/6		3/6	4/6	4/6	3/6	3/6	4/6	4/6	4/6	4/6	3/6	3/6	4/6	4/6	4/6	4/6	3/6	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN		PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	NADH-KINASE-RXN;NAD-KIN-RXN;PYRNUTRANSHYDROGEN-RXN;NADH-DEHYDROG-A-RXN	PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;NADH-DEHYDROG-A-RXN
ASPASN-PWY	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4			3/4	3/4	3/4	2/4	3/4	3/4	3/4	3/4			3/4		2/4	3/4	3/4	3/4	3/4	3/4	3/4	2/4	3/4	3/4	3/4	3/4	3/4	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY			ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY			ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY		ASPARAGHYD-RXN;ASPARTATESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARAGHYD-RXN;ASPARTATESYN-PWY;ASPARAGINESYN-PWY	ASPARTATESYN-PWY;ASPARAGINESYN-PWY;ASPARTASE-RXN
PWY-7778	2/8	2/8	2/8	2/8	2/8	2/8	2/8	2/8		2/8	2/8	1/8	2/8		2/8	2/8	2/8				2/8				2/8	2/8	2/8	2/8	2/8	1/8	2/8	2/8	2/8	1/8	3/8	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN		RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN		RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN				RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN				RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN	ACETYL-COA-ACETYLTRANSFER-RXN	RXN-17589;RXN-11662;ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7904	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5		1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308		RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308	RXN0-308
PWY-6959	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5		1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400		RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400	RXN-21400
PWY-6730	3/3	3/3	3/3	3/3	3/3		3/3			3/3		3/3			3/3		3/3				3/3				3/3	3/3	3/3		3/3	3/3	3/3	3/3	3/3	3/3		RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268		RXN-11241;RXN-11267;RXN-11268			RXN-11241;RXN-11267;RXN-11268		RXN-11241;RXN-11267;RXN-11268			RXN-11241;RXN-11267;RXN-11268		RXN-11241;RXN-11267;RXN-11268				RXN-11241;RXN-11267;RXN-11268				RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268		RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	RXN-11241;RXN-11267;RXN-11268	
PWY-6320	1/5	1/5	1/5	1/5	1/5	1/5		1/5		1/5	1/5	1/5	2/5	1/5		1/5					1/5			1/5		1/5	1/5	1/5	1/5	1/5		1/5	1/5		1/5	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN		4-COUMARATE--COA-LIGASE-RXN		4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	2.3.1.133-RXN;4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN		4-COUMARATE--COA-LIGASE-RXN					4-COUMARATE--COA-LIGASE-RXN			4-COUMARATE--COA-LIGASE-RXN		4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN		4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN		4-COUMARATE--COA-LIGASE-RXN
PWY-7765	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5		2/5	2/5	2/5	2/5	2/5	2/5	2/5	3/5			1/5	2/5		1/5		2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	1/5	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665		KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;ARYLFORMAMIDASE-RXN;RXN-8665			ARYLFORMAMIDASE-RXN	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665		KYNURENINE-3-MONOOXYGENASE-RXN		KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665	KYNURENINE-3-MONOOXYGENASE-RXN
PWY-7506	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1		1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1				1/1				1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1		RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382		RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382				RXN-1382				RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	RXN-1382	
PWY-7426	3/10	4/10	4/10	3/10	4/10	4/10	4/10	4/10	1/10	4/10	4/10	3/10	6/10	5/10	4/10	4/10	5/10	1/10	1/10		3/10	3/10			4/10	4/10	3/10	3/10	4/10	4/10	4/10	4/10	4/10	3/10	3/10	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	3.2.1.114-RXN;2.4.1.145-RXN;2.4.1.101-RXN;RXN-19001	2.4.1.68-RXN;2.4.1.101-RXN;RXN-19001;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.101-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN	2.4.1.68-RXN;2.4.1.145-RXN;2.4.1.155-RXN;2.4.1.101-RXN;RXN-19001;3.2.1.114-RXN	2.4.1.68-RXN;2.4.1.145-RXN;2.4.1.144-RXN;2.4.1.155-RXN;2.4.1.101-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.68-RXN;2.4.1.145-RXN;2.4.1.155-RXN;2.4.1.101-RXN;RXN-19001	2.4.1.101-RXN	2.4.1.101-RXN		2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN	2.4.1.101-RXN;RXN-19001;2.4.1.155-RXN			2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.144-RXN;2.4.1.68-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN	3.2.1.114-RXN;2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN;2.4.1.155-RXN	2.4.1.145-RXN;2.4.1.101-RXN;2.4.1.68-RXN	3.2.1.114-RXN;2.4.1.101-RXN;2.4.1.143-RXN
PWY-6672	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9		1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN		ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN	ACETATE--COA-LIGASE-RXN
PWY-5668	2/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	1/3	2/3	3/3	2/3	3/3	2/3	3/3	3/3	3/3			1/3	2/3	3/3	1/3		3/3	3/3	3/3	3/3	3/3	3/3	2/3	2/3	3/3	3/3	1/3	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PHOSPHAGLYPSYN-RXN	PGPPHOSPHA-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN			PHOSPHAGLYPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PHOSPHAGLYPSYN-RXN		PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN	PGPPHOSPHA-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PGPPHOSPHA-RXN;PHOSPHAGLYPSYN-RXN;CARDIOLIPSYN-RXN	PHOSPHAGLYPSYN-RXN
