metabolite	Desmarestia_herbacea_m_rxn_consume	Porterinema_fluviatile_rxn_consume	Ectocarpus_siliculosus_m_rxn_consume	Dictyota_dichotoma_m_rxn_consume	Chordaria_linearis_rxn_consume	Thalassiosira_pseudonana_rxn_consume	Ectocarpus_crouaniorum_m_rxn_consume	Pleurocladia_lacustris_rxn_consume	Ectocarpus_fasciculatus_m_rxn_consume	Fragilariopsis_cylindrus_rxn_consume	Phaeodactylum_tricornutum_rxn_consume	Schizocladia_ischiensis_rxn_consume	Fucus_serratus_MALE_rxn_consume	Fistulifera_solaris_rxn_consume	Saccharina_latissima_FEMALE_rxn_consume	Nannochloropsis_gaditana_rxn_consume	Scytosiphon_promiscuus_MALE_rxn_consume	Desmarestia_herbacea_m_rxn_produce	Porterinema_fluviatile_rxn_produce	Ectocarpus_siliculosus_m_rxn_produce	Dictyota_dichotoma_m_rxn_produce	Chordaria_linearis_rxn_produce	Thalassiosira_pseudonana_rxn_produce	Ectocarpus_crouaniorum_m_rxn_produce	Pleurocladia_lacustris_rxn_produce	Ectocarpus_fasciculatus_m_rxn_produce	Fragilariopsis_cylindrus_rxn_produce	Phaeodactylum_tricornutum_rxn_produce	Schizocladia_ischiensis_rxn_produce	Fucus_serratus_MALE_rxn_produce	Fistulifera_solaris_rxn_produce	Saccharina_latissima_FEMALE_rxn_produce	Nannochloropsis_gaditana_rxn_produce	Scytosiphon_promiscuus_MALE_rxn_produce
Alpha-linolenoyl-groups	RXN-8347	RXN-8347	RXN-8347	RXN-8347	RXN-8347;RXN-13857		RXN-8347	RXN-8347	RXN-8347;RXN-13857			RXN-8347	RXN-8347		RXN-8347;RXN-13857		RXN-8347;RXN-13857																	
L-Amino-Acids																		GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	3.4.18.1-RXN	3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN	3.4.18.1-RXN	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN;ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN;3.4.18.1-RXN
ArsC-S-As-OH	RXN-21027	RXN-21027	RXN-21027	RXN-21027	RXN-21027	RXN-21027	RXN-21027	RXN-21027	RXN-21027			RXN-21027	RXN-21027		RXN-21027	RXN-21027	RXN-21027	RXN-21026	RXN-21026	RXN-21026	RXN-21026	RXN-21026	RXN-21026	RXN-21026	RXN-21026	RXN-21026			RXN-21026	RXN-21026		RXN-21026	RXN-21026	RXN-21026
Fructose-BisPO4-Aldolase-Lysine	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588	RXN-13588																	
CPD-13198	RXN-12278;RXN-12279	RXN-12278;RXN-12279	RXN-12278;RXN-12279	RXN-12278;RXN-12279	RXN-12278;RXN-12279		RXN-12278;RXN-12279	RXN-12278;RXN-12279	RXN-12278;RXN-12279			RXN-12278;RXN-12279	RXN-12278;RXN-12279		RXN-12278;RXN-12279		RXN-12278;RXN-12279																	
CPD-4211	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884	IPPISOM-RXN;RXN0-884
Histone-H3-K4m2	RXN66-607;RXN-20644;RXN-20628;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN-20610	RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20628;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN66-607;RXN-20644;RXN-20610	RXN-20604;RXN-20622	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604	RXN-20604;RXN-20622	RXN-20604	RXN-20604
CPD-12646																		RXN-16097	RXN-16097	RXN-16097	RXN-16097	RXN-16097		RXN-16097	RXN-16097	RXN-16097			RXN-16097	RXN-16097		RXN-16097		RXN-16097
5-Phosphooxy-L-glutamyl-tRNAGlln	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20083	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082	RXN-20082
CPD-12587																		RXN-11625;RXN-12304;RXN-11776	RXN-11625;RXN-12304;RXN-11776	RXN-11625;RXN-12304;RXN-11776	RXN-11625;RXN-12304;RXN-11776	RXN-11625;RXN-12304;RXN-11776		RXN-11625;RXN-12304;RXN-11776	RXN-11625;RXN-12304;RXN-11776	RXN-11625;RXN-12304			RXN-11776	RXN-11625;RXN-12304;RXN-11776		RXN-11776		RXN-11776
S-HYDROXYMETHYLGLUTATHIONE	RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2962		RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2962	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961	RXN-2961
Pro-tRNA-Cytidine4	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477	RXN-12477																	
CPD0-2554																		RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459	RXN-20459
CPD-10269	RXN-10662	RXN-10662	RXN-10662	RXN-10662	RXN-10662;RXN-16481		RXN-10662	RXN-10662	RXN-10662;RXN-16481			RXN-10662	RXN-10662		RXN-10662		RXN-10662	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664	RXN-10664
CPD-17278	RXN-11682	RXN-11682	RXN-11682	RXN-11682	RXN-11682		RXN-11682	RXN-11682	RXN-11682			RXN-11682	RXN-11682		RXN-11682		RXN-11682	RXN-8347	RXN-8347	RXN-8347	RXN-8347	RXN-8347		RXN-8347	RXN-8347	RXN-8347			RXN-8347	RXN-8347		RXN-8347		RXN-8347
CPD-7953	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989	RXN-11989																	
CYCLOARTENOL	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	2.1.1.142-RXN;RXN-4021	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN	CYCLOARTENOL-SYNTHASE-RXN
DIHYDROFOLATE	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	RXN-19329	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN		DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN
N-FORMIMINO-L-GLUTAMATE	GLUTAMATE-FORMIMINOTRANSFERASE-RXN		GLUTAMATE-FORMIMINOTRANSFERASE-RXN	GLUTAMATE-FORMIMINOTRANSFERASE-RXN	GLUTAMATE-FORMIMINOTRANSFERASE-RXN		GLUTAMATE-FORMIMINOTRANSFERASE-RXN	GLUTAMATE-FORMIMINOTRANSFERASE-RXN	GLUTAMATE-FORMIMINOTRANSFERASE-RXN			GLUTAMATE-FORMIMINOTRANSFERASE-RXN	GLUTAMATE-FORMIMINOTRANSFERASE-RXN				GLUTAMATE-FORMIMINOTRANSFERASE-RXN																	
CPD-15363	RXN-16158	RXN-16158	RXN-16158	RXN-16158	RXN-16158		RXN-16158	RXN-16158	RXN-16158			RXN-16158	RXN-16158		RXN-16158		RXN-16158	RXN-14486	RXN-14486	RXN-14486	RXN-14486	RXN-14486		RXN-14486	RXN-14486	RXN-14486			RXN-14486	RXN-14486		RXN-14486		RXN-14486
Fibrin	3.4.21.7-RXN	3.4.21.7-RXN	3.4.21.7-RXN	3.4.21.7-RXN	3.4.21.7-RXN		3.4.21.7-RXN	3.4.21.7-RXN	3.4.21.7-RXN				3.4.21.7-RXN		3.4.21.7-RXN		3.4.21.7-RXN																	
CPD-1086		RIBOPHOSPHAT-RXN	RIBOPHOSPHAT-RXN		RIBOPHOSPHAT-RXN			RIBOPHOSPHAT-RXN	RIBOPHOSPHAT-RXN			RIBOPHOSPHAT-RXN			RIBOPHOSPHAT-RXN		RIBOPHOSPHAT-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN	RXN-10058;RIBOFLAVINSYNREDUC-RXN
CPD-17866	RXN-16574	RXN-16574	RXN-16574	RXN-16574	RXN-16574		RXN-16574	RXN-16574	RXN-16574			RXN-16574	RXN-16574		RXN-16574		RXN-16574	FESGSHTHIO-RXN	FESGSHTHIO-RXN	FESGSHTHIO-RXN	FESGSHTHIO-RXN	FESGSHTHIO-RXN		FESGSHTHIO-RXN	FESGSHTHIO-RXN	FESGSHTHIO-RXN			FESGSHTHIO-RXN	FESGSHTHIO-RXN		FESGSHTHIO-RXN		FESGSHTHIO-RXN
Type-1-H-Antigen		RXN-18252	RXN-18252	RXN-18252	RXN-18252		RXN-18252	RXN-18252	RXN-18252				RXN-18252		RXN-18252		RXN-18252	RXN-18234	RXN-18234	RXN-18234	RXN-18234	RXN-18234		RXN-18234	RXN-18234	RXN-18234			RXN-18234	RXN-18234		RXN-18234		RXN-18234
GAMMA-BUTYROBETAINE	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN		1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.14.11.1-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN	1.2.1.47-RXN
