	nb_genes mean	nb_genes med	nb_genes sd	nb_genes min	nb_genes max	nb_rnx mean	nb_rnx med	nb_rnx sd	nb_rnx min	nb_rnx max	nb_pw > 80% mean	nb_pw > 80% med	nb_pw > 80% sd	nb_pw > 80% min	nb_pw > 80% max	nb_pw 100% mean	nb_pw 100% med	nb_pw 100% sd	nb_pw 100% min	nb_pw 100% max
SR	9043.6	8343.0	1866.4	7103	13595	2854.3	2756.0	277.9	2537	3506	447.0	438.0	47.6	394	548	372.1	364.0	48.1	320	471
LR	7871.8	7801.0	469.0	7172	9138	2773.9	2770.5	37.8	2695	2837	449.8	451.0	6.1	436	457	375.4	378.0	6.0	362	382
