original_gene_id	renamed_gene_id
mRNA_D-herbacea_M_contig1.54.1	c_organisms_00107
prot_D-herbacea_M_contig1.54.1	c_organisms_00108
mRNA_D-herbacea_M_contig1.55.1	c_organisms_00109
prot_D-herbacea_M_contig1.55.1	c_organisms_00110
mRNA_D-herbacea_M_contig1.56.1	c_organisms_00111
prot_D-herbacea_M_contig1.56.1	c_organisms_00112
mRNA_D-herbacea_M_contig1.57.1	c_organisms_00113
prot_D-herbacea_M_contig1.57.1	c_organisms_00114
mRNA_D-herbacea_M_contig1.58.1	c_organisms_00115
prot_D-herbacea_M_contig1.58.1	c_organisms_00116
mRNA_D-herbacea_M_contig1.59.1	c_organisms_00117
prot_D-herbacea_M_contig1.59.1	c_organisms_00118
mRNA_D-herbacea_M_contig1.60.1	c_organisms_00119
prot_D-herbacea_M_contig1.60.1	c_organisms_00120
mRNA_D-herbacea_M_contig1.61.1	c_organisms_00121
prot_D-herbacea_M_contig1.61.1	c_organisms_00122
mRNA_D-herbacea_M_contig1.62.1	c_organisms_00123
prot_D-herbacea_M_contig1.62.1	c_organisms_00124
mRNA_D-herbacea_M_contig1.63.1	c_organisms_00125
prot_D-herbacea_M_contig1.63.1	c_organisms_00126
mRNA_D-herbacea_M_contig1.64.1	c_organisms_00127
prot_D-herbacea_M_contig1.64.1	c_organisms_00128
mRNA_D-herbacea_M_contig1.65.1	c_organisms_00129
prot_D-herbacea_M_contig1.65.1	c_organisms_00130
mRNA_D-herbacea_M_contig1.66.1	c_organisms_00131
prot_D-herbacea_M_contig1.66.1	c_organisms_00132
mRNA_D-herbacea_M_contig1.67.1	c_organisms_00133
prot_D-herbacea_M_contig1.67.1	c_organisms_00134
mRNA_D-herbacea_M_contig1.68.1	c_organisms_00135
prot_D-herbacea_M_contig1.68.1	c_organisms_00136
mRNA_D-herbacea_M_contig1.69.1	c_organisms_00137
prot_D-herbacea_M_contig1.69.1	c_organisms_00138
mRNA_D-herbacea_M_contig1.70.1	c_organisms_00139
prot_D-herbacea_M_contig1.70.1	c_organisms_00140
mRNA_D-herbacea_M_contig1.71.1	c_organisms_00141
prot_D-herbacea_M_contig1.71.1	c_organisms_00142
mRNA_D-herbacea_M_contig1.72.1	c_organisms_00143
prot_D-herbacea_M_contig1.72.1	c_organisms_00144
mRNA_D-herbacea_M_contig1.73.1	c_organisms_00145
prot_D-herbacea_M_contig1.73.1	c_organisms_00146
mRNA_D-herbacea_M_contig1.74.1	c_organisms_00147
prot_D-herbacea_M_contig1.74.1	c_organisms_00148
mRNA_D-herbacea_M_contig1.75.1	c_organisms_00149
prot_D-herbacea_M_contig1.75.1	c_organisms_00150
mRNA_D-herbacea_M_contig1.76.1	c_organisms_00151
prot_D-herbacea_M_contig1.76.1	c_organisms_00152
mRNA_D-herbacea_M_contig1.77.1	c_organisms_00153
prot_D-herbacea_M_contig1.77.1	c_organisms_00154
mRNA_D-herbacea_M_contig1.78.1	c_organisms_00155
prot_D-herbacea_M_contig1.78.1	c_organisms_00156
mRNA_D-herbacea_M_contig1.79.1	c_organisms_00157
prot_D-herbacea_M_contig1.79.1	c_organisms_00158
mRNA_D-herbacea_M_contig1.80.1	c_organisms_00159
prot_D-herbacea_M_contig1.80.1	c_organisms_00160
mRNA_D-herbacea_M_contig1.81.1	c_organisms_00161
prot_D-herbacea_M_contig1.81.1	c_organisms_00162
mRNA_D-herbacea_M_contig1.82.1	c_organisms_00163
prot_D-herbacea_M_contig1.82.1	c_organisms_00164
mRNA_D-herbacea_M_contig1.83.1	c_organisms_00165
prot_D-herbacea_M_contig1.83.1	c_organisms_00166
mRNA_D-herbacea_M_contig1.84.1	c_organisms_00167
prot_D-herbacea_M_contig1.84.1	c_organisms_00168
mRNA_D-herbacea_M_contig1.85.1	c_organisms_00169
prot_D-herbacea_M_contig1.85.1	c_organisms_00170
mRNA_D-herbacea_M_contig1.86.1	c_organisms_00171
prot_D-herbacea_M_contig1.86.1	c_organisms_00172
mRNA_D-herbacea_M_contig1.87.1	c_organisms_00173
prot_D-herbacea_M_contig1.87.1	c_organisms_00174
mRNA_D-herbacea_M_contig1.88.1	c_organisms_00175
prot_D-herbacea_M_contig1.88.1	c_organisms_00176
mRNA_D-herbacea_M_contig1.89.1	c_organisms_00177
prot_D-herbacea_M_contig1.89.1	c_organisms_00178
mRNA_D-herbacea_M_contig1.90.1	c_organisms_00179
prot_D-herbacea_M_contig1.90.1	c_organisms_00180
mRNA_D-herbacea_M_contig1.91.1	c_organisms_00181
prot_D-herbacea_M_contig1.91.1	c_organisms_00182
mRNA_D-herbacea_M_contig1.92.1	c_organisms_00183
prot_D-herbacea_M_contig1.92.1	c_organisms_00184
mRNA_D-herbacea_M_contig1.93.1	c_organisms_00185
prot_D-herbacea_M_contig1.93.1	c_organisms_00186
mRNA_D-herbacea_M_contig1.94.1	c_organisms_00187
prot_D-herbacea_M_contig1.94.1	c_organisms_00188
mRNA_D-herbacea_M_contig1.95.1	c_organisms_00189
prot_D-herbacea_M_contig1.95.1	c_organisms_00190
mRNA_D-herbacea_M_contig1.96.1	c_organisms_00191
prot_D-herbacea_M_contig1.96.1	c_organisms_00192
mRNA_D-herbacea_M_contig1.97.1	c_organisms_00193
prot_D-herbacea_M_contig1.97.1	c_organisms_00194
mRNA_D-herbacea_M_contig1.98.1	c_organisms_00195
prot_D-herbacea_M_contig1.98.1	c_organisms_00196
mRNA_D-herbacea_M_contig1.99.1	c_organisms_00197
prot_D-herbacea_M_contig1.99.1	c_organisms_00198
mRNA_D-herbacea_M_contig1.100.1	c_organisms_00199
prot_D-herbacea_M_contig1.100.1	c_organisms_00200
mRNA_D-herbacea_M_contig1.101.1	c_organisms_00201
prot_D-herbacea_M_contig1.101.1	c_organisms_00202
mRNA_D-herbacea_M_contig1.102.1	c_organisms_00203
prot_D-herbacea_M_contig1.102.1	c_organisms_00204
mRNA_D-herbacea_M_contig1.103.1	c_organisms_00205
prot_D-herbacea_M_contig1.103.1	c_organisms_00206
mRNA_D-herbacea_M_contig1.104.1	c_organisms_00207
prot_D-herbacea_M_contig1.104.1	c_organisms_00208
mRNA_D-herbacea_M_contig1.105.1	c_organisms_00209
prot_D-herbacea_M_contig1.105.1	c_organisms_00210
mRNA_D-herbacea_M_contig1.106.1	c_organisms_00211
prot_D-herbacea_M_contig1.106.1	c_organisms_00212
mRNA_D-herbacea_M_contig1.107.1	c_organisms_00213
prot_D-herbacea_M_contig1.107.1	c_organisms_00214
mRNA_D-herbacea_M_contig1.108.1	c_organisms_00215
prot_D-herbacea_M_contig1.108.1	c_organisms_00216
mRNA_D-herbacea_M_contig1.109.1	c_organisms_00217
prot_D-herbacea_M_contig1.109.1	c_organisms_00218
mRNA_D-herbacea_M_contig1.110.1	c_organisms_00219
prot_D-herbacea_M_contig1.110.1	c_organisms_00220
mRNA_D-herbacea_M_contig1.111.1	c_organisms_00221
prot_D-herbacea_M_contig1.111.1	c_organisms_00222
mRNA_D-herbacea_M_contig1.112.1	c_organisms_00223
prot_D-herbacea_M_contig1.112.1	c_organisms_00224
mRNA_D-herbacea_M_contig1.113.1	c_organisms_00225
prot_D-herbacea_M_contig1.113.1	c_organisms_00226
mRNA_D-herbacea_M_contig1.114.1	c_organisms_00227
prot_D-herbacea_M_contig1.114.1	c_organisms_00228
mRNA_D-herbacea_M_contig1.115.1	c_organisms_00229
prot_D-herbacea_M_contig1.115.1	c_organisms_00230
mRNA_D-herbacea_M_contig1.116.1	c_organisms_00231
prot_D-herbacea_M_contig1.116.1	c_organisms_00232
mRNA_D-herbacea_M_contig1.117.1	c_organisms_00233
prot_D-herbacea_M_contig1.117.1	c_organisms_00234
mRNA_D-herbacea_M_contig1.118.1	c_organisms_00235
prot_D-herbacea_M_contig1.118.1	c_organisms_00236
mRNA_D-herbacea_M_contig1.119.1	c_organisms_00237
prot_D-herbacea_M_contig1.119.1	c_organisms_00238
mRNA_D-herbacea_M_contig1.120.1	c_organisms_00239
prot_D-herbacea_M_contig1.120.1	c_organisms_00240
mRNA_D-herbacea_M_contig1.121.1	c_organisms_00241
prot_D-herbacea_M_contig1.121.1	c_organisms_00242
mRNA_D-herbacea_M_contig1.122.1	c_organisms_00243
prot_D-herbacea_M_contig1.122.1	c_organisms_00244
mRNA_D-herbacea_M_contig1.123.1	c_organisms_00245
prot_D-herbacea_M_contig1.123.1	c_organisms_00246
mRNA_D-herbacea_M_contig1.124.1	c_organisms_00247
