	nb_genes mean	nb_genes med	nb_genes sd	nb_genes min	nb_genes max	nb_rnx mean	nb_rnx med	nb_rnx sd	nb_rnx min	nb_rnx max	nb_pw > 80% mean	nb_pw > 80% med	nb_pw > 80% sd	nb_pw > 80% min	nb_pw > 80% max	nb_pw 100% mean	nb_pw 100% med	nb_pw 100% sd	nb_pw 100% min	nb_pw 100% max
SR	3732.6	3153.5	1047.2	2629	6032	2422.8	2307.5	287.7	2104	3110	378.2	369.0	52.2	320	494	312.5	300.5	52.2	258	420
LR	2898.7	2876.5	193.8	2576	3398	2314.7	2321.5	47.5	2203	2388	376.9	377.5	8.0	365	388	309.4	311.0	7.2	297	320
